ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P404AA_1,P404AA_2,P404AA_3,P404AA_4,P404AA_5,P404AA_6,P410AA,P410AB1,P410AB2,P410AC_CANT_1,P410AC_CANT_2,P410AD,P410AD1,P410AE,OMICAP400_02
2019.0,14,LAMBAYEQUE,03,LAMBAYEQUE,01,LAMBAYEQUE,01571,00105,1,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Sociedad anónima cerrada (SAC)?,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,13.0,0.0,1.0,800,340.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,20,TUMAN,01696,00119,1,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,4.0,0.0,0.0,130,119.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,13,REQUE,01758,00046,2,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Sociedad de responsabilidad limitada (SRL)?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,27.0,0.0,1.0,000,935.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,13,REQUE,01758,00104,3,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Granja de cuyes,1.0,0.0,0.0,002,100.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,13,REQUE,01758,00104,3,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Establo lechero,3.0,0.0,0.0,043,30.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00001,1,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,1.0,0.0,0.0,060,35.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00004,2,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja porcina,1.0,0.0,0.0,016,70.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00004,2,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,0.0,1.0,0.0,014,7.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00004,2,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Pase,Pase,Granja porcina?,Pase,Pase,Pase,Granja de cuyes,1.0,0.0,0.0,046,2500.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00017,3,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,2.0,0.0,0.0,013,10.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00017,3,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Pase,Pase,Granja porcina?,Pase,Pase,Pase,Granja porcina,3.0,0.0,0.0,003,6.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00019,4,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,0.0,1.0,0.0,022,6.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00022,5,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja porcina,1.0,0.0,0.0,036,100.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00022,5,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Granja porcina?,Pase,Pase,Pase,Granja de cuyes,1.0,0.0,0.0,040,2500.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00106,7,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,1.0,0.0,0.0,012,480.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00107,8,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Granja porcina,3.0,0.0,0.0,004,14.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00107,8,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja avícola de gallina de postura,1.0,0.0,0.0,014,1000.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00107,8,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Pase,Pase,Granja porcina?,Pase,Pase,Pase,Establo lechero,2.0,0.0,0.0,008,6.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00107,8,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja de cuyes,1.0,0.0,0.0,007,400.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,01,CHICLAYO,01761,00073,1,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,3.0,0.0,0.0,060,30.0,Automatico?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,01,CHICLAYO,01761,00074,2,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,3.0,1.0,0.0,090,40.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,01,CHICLAYO,01761,00087,3,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,2.0,0.0,0.0,100,28.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,01,CHICLAYO,01761,00087,3,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Pase,Pase,Granja porcina?,Pase,Pase,Pase,Granja porcina,0.0,2.0,0.0,004,20.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,06,LA VICTORIA,01768,00017,1,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Empresa individual de responsabilidad limitada (EIRL)?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,15.0,1.0,1.0,500,400.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,06,LA VICTORIA,01768,00026,2,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Empresa individual de responsabilidad limitada (EIRL)?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,16.0,0.0,0.0,500,192.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,06,LA VICTORIA,01768,00027,3,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Empresa individual de responsabilidad limitada (EIRL)?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,12.0,0.0,1.0,200,180.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,06,LA VICTORIA,01768,00089,4,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,14.0,2.0,0.0,800,340.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,06,LA VICTORIA,01768,00127,5,Granja y Establo,Completa,Costa,,1.0300751879699248,Grandes productores/as agropecuarios/as,¿Sociedad anónima cerrada (SAC)?,Pase,¿Pecuaria?,Pase,Pase,Granja porcina?,Pase,Pase,Pase,Granja porcina,53.0,0.0,2.0,000,4800.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,06,LA VICTORIA,01768,00149,6,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,12.0,1.0,0.0,200,100.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,06,LA VICTORIA,01773,00124,7,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de gallina de postura,0.0,1.0,0.0,002,100.0,Manual?,Red pública, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,06,LA VICTORIA,01773,00124,7,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,2.0,0.0,0.0,035,3000.0,Manual?,Red pública, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,08,MONSEFU,01777,00081,1,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,4.0,0.0,0.0,070,60.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,08,MONSEFU,01777,00082,2,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Establo lechero,1.0,0.0,0.0,015,12.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,08,MONSEFU,01777,00082,2,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Granja porcina?,Pase,Pase,Pase,Granja porcina,4.0,0.0,0.0,060,160.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,08,MONSEFU,01777,00082,2,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Granja de cuyes,1.0,0.0,0.0,005,350.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,08,MONSEFU,01785,00084,3,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,1.0,0.0,0.0,075,20.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,08,MONSEFU,01789,00096,4,Granja avicola,Completa,Costa,,4.267716535433071,Grandes productores/as agropecuarios/as,¿Sociedad de responsabilidad limitada (SRL)?,Pase,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de gallina de postura,5.0,0.0,0.0,628,32700.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,08,MONSEFU,01793,00066,5,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,4.0,0.0,0.0,160,60.0,Manual?,Pozo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,07,LAGUNAS,01800,00118,2,Empresa,Completa,Costa,,7.065420560747663,Grandes productores/as agropecuarios/as,¿Sociedad anónima?,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,2.0,0.0,0.0,060,30.0,Manual?,Río/riachuelo, 
2019.0,14,LAMBAYEQUE,01,CHICLAYO,07,LAGUNAS,01800,00118,2,Empresa,Completa,Costa,,7.065420560747663,Grandes productores/as agropecuarios/as,¿Sociedad anónima?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,1.0,0.0,0.0,030,900.0,Manual?,Río/riachuelo, 
2019.0,06,CAJAMARCA,08,JAEN,02,BELLAVISTA,02148,00182,1,Granja y Establo,Completa,Selva,,1.0300751879699248,Grandes productores/as agropecuarios/as,¿Sociedad anónima cerrada (SAC)?,¿Agrícola?,¿Pecuaria?,Pase,Centro de engorde vacuno?,Pase,Pase,Pase,Pase,Centro de engorde vacuno,50.0,0.0,3.0,500,1720.0,Manual?,Río/riachuelo, 
2019.0,06,CAJAMARCA,08,JAEN,02,BELLAVISTA,02150,00013,2,Granja avicola,Completa,Selva,,4.267716535433071,Grandes productores/as agropecuarios/as,¿Empresa individual de responsabilidad limitada (EIRL)?,Pase,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de pollo de engorde,6.0,1.0,0.0,770,45500.0,Automatico?,Pozo, 
2019.0,06,CAJAMARCA,06,CUTERVO,01,CUTERVO,02478,00013,1,Granja avicola,Completa,Sierra,,4.267716535433071,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,1.0,2.0,0.0,027,1800.0,Manual?,Red pública, 
2019.0,06,CAJAMARCA,06,CUTERVO,01,CUTERVO,02478,00018,2,Granja avicola,Completa,Sierra,,4.267716535433071,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,2.0,0.0,0.0,006,500.0,Manual?,Red pública, 
2019.0,06,CAJAMARCA,06,CUTERVO,01,CUTERVO,02479,00071,3,Granja y Establo,Completa,Sierra,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,1.0,0.0,0.0,016,1000.0,Manual?,Red pública, 
2019.0,06,CAJAMARCA,06,CUTERVO,01,CUTERVO,02481,00082,4,Persona natural,Completa,Sierra,,3.6267281105990783,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,2.0,0.0,0.0,130,100.0,Manual?,Pozo, 
2019.0,06,CAJAMARCA,06,CUTERVO,01,CUTERVO,02572,00017,5,Granja y Establo,Completa,Sierra,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,1.0,0.0,0.0,042,40.0,Manual?,Pozo, 
2019.0,06,CAJAMARCA,04,CHOTA,01,CHOTA,02783,00064,5,Granja y Establo,Completa,Sierra,,3.675925925925926,Grandes productores/as agropecuarios/as,Otro,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja avícola de pollo de engorde,0.0,1.0,0.0,010,800.0,Manual?,Pozo, 
2019.0,06,CAJAMARCA,04,CHOTA,01,CHOTA,02783,00064,5,Granja y Establo,Completa,Sierra,,3.675925925925926,Grandes productores/as agropecuarios/as,Otro,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja de cuyes,2.0,0.0,0.0,012,500.0,Manual?,Pozo, 
2019.0,06,CAJAMARCA,04,CHOTA,01,CHOTA,02835,00091,7,Granja y Establo,Completa,Sierra,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,2.0,0.0,0.0,013,1000.0,Manual?,Red pública, 
2019.0,06,CAJAMARCA,04,CHOTA,01,CHOTA,02853,00076,8,Granja y Establo,Completa,Sierra,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,1.0,0.0,0.0,013,1000.0,Manual?,Red pública, 
2019.0,06,CAJAMARCA,10,SAN MARCOS,04,GREGORIO PITA,04696,00078,1,Granja y Establo,Completa,Sierra,,1.0300751879699248,Grandes productores/as agropecuarios/as,Otro,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,1.0,0.0,0.0,100,10000.0,Manual?,Red pública, 
2019.0,06,CAJAMARCA,10,SAN MARCOS,01,PEDRO GALVEZ,04778,00110,1,Granja y Establo,Completa,Sierra,,1.0300751879699248,Grandes productores/as agropecuarios/as,Otro,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,3.0,0.0,0.0,050,2000.0,Manual?,Red pública, 
2019.0,06,CAJAMARCA,02,CAJABAMBA,03,CONDEBAMBA,04946,00074,1,Granja y Establo,Completa,Sierra,,1.0300751879699248,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,1.0,0.0,0.0,050,2000.0,Manual?,Red pública, 
2019.0,06,CAJAMARCA,02,CAJABAMBA,03,CONDEBAMBA,04946,00157,2,Granja y Establo,Completa,Sierra,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Sociedad anónima cerrada (SAC)?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,2.0,0.0,0.0,070,4500.0,Manual?,Red pública, 
2019.0,06,CAJAMARCA,02,CAJABAMBA,03,CONDEBAMBA,04965,00055,3,Granja y Establo,Completa,Sierra,,1.0300751879699248,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,1.0,0.0,0.0,036,1400.0,Manual?,Red pública, 
2019.0,01,AMAZONAS,07,UTCUBAMBA,04,EL MILAGRO,05203,00101,1,Empresa,Completa,Selva,,7.065420560747663,Grandes productores/as agropecuarios/as,Otro,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,1.0,0.0,0.0,030,2500.0,Manual?,Pozo, 
2019.0,01,AMAZONAS,07,UTCUBAMBA,01,BAGUA GRANDE,05263,00087,1,Empresa,Completa,Selva,,1.0226415094339623,Grandes productores/as agropecuarios/as,¿Sociedad anónima cerrada (SAC)?,¿Agrícola?,¿Pecuaria?,Pase,Centro de engorde vacuno?,Pase,Pase,Pase,Pase,Centro de engorde vacuno,10.0,0.0,1.0,200,660.0,Manual?,Manantial, 
2019.0,01,AMAZONAS,03,BONGARA,07,JAZAN,05393,00088,1,Granja y Establo,Completa,Selva,,1.0300751879699248,Grandes productores/as agropecuarios/as,¿Sociedad anónima cerrada (SAC)?,Pase,¿Pecuaria?,Pase,Pase,Granja porcina?,Pase,Pase,Pase,Granja porcina,15.0,0.0,2.0,546,8500.0,Manual?,Río/riachuelo, 
2019.0,01,AMAZONAS,03,BONGARA,07,JAZAN,05393,00146,2,Persona natural,Completa,Selva,,1.0813953488372092,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Granja porcina?,Pase,Pase,Pase,Granja porcina,1.0,1.0,0.0,100,80.0,Manual?,Río/riachuelo, 
2019.0,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,05494,00135,1,Granja y Establo,Completa,Sierra,,1.0300751879699248,Grandes productores/as agropecuarios/as,¿Sociedad de responsabilidad limitada (SRL)?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,2.0,0.0,0.0,067,3000.0,Manual?,Red pública, 
2019.0,01,AMAZONAS,06,RODRIGUEZ DE MENDOZA,12,VISTA ALEGRE,05544,00010,1,Persona natural,Completa,Selva,,3.6267281105990783,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Centro de engorde vacuno?,Pase,Pase,Pase,Pase,Centro de engorde vacuno,2.0,0.0,0.0,250,123.0,Manual?,Río/riachuelo, 
2019.0,01,AMAZONAS,06,RODRIGUEZ DE MENDOZA,01,SAN NICOLAS,05551,00030,2,Granja y Establo,Completa,Selva,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Granja porcina?,Pase,Pase,Pase,Granja porcina,2.0,0.0,0.0,200,120.0,Manual?,Pozo, 
2019.0,01,AMAZONAS,06,RODRIGUEZ DE MENDOZA,04,HUAMBO,05558,00096,1,Granja y Establo,Completa,Selva,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Granja porcina?,Pase,Pase,Pase,Granja porcina,3.0,0.0,0.0,120,600.0,Manual?,Red pública, 
